Regulation,Year,Agency,Cost
"Retirement of Requirements in Reliability Standards","2013","Federal Energy Regulatory Commission","518.0k"
"Transparency Provisions of Section 23 of the Natural Gas Act","2008","Federal Energy Regulatory Commission","0.0"
"Standards for Business Practices for Interstate Natural Gas Pipelines","2012","Federal Energy Regulatory Commission","300.0k"
"Facilities Design, Connections and Maintenance Reliability Standards","2008","Federal Energy Regulatory Commission","6.5m"
"Emergency Preparedness and Operations Reliability Standards","2018","Federal Energy Regulatory Commission","-498.0k"
"Essential Reliability Services and the Evolving Bulk-Power System-Primary Frequency Response","2018","Federal Energy Regulatory Commission","56.0k"
"Electric Storage Participation in Markets Operated by Regional Transmission Organizations","2018","Federal Energy Regulatory Commission","693.0k"
"Revised Filing and Reporting Requirements for Interstate Natural Gas Company Rate Schedules and Tariffs","2022","Federal Energy Regulatory Commission","246.0k"
"Revised Critical Infrastructure Protection Reliability Standard … Security Management Controls","2018","Federal Energy Regulatory Commission","90.6m"
"Uplift Cost Allocation and Transparency in Markets Operated by Regional Transmission Organizations","2018","Federal Energy Regulatory Commission","551.0k"
"Reform of Generator Interconnection Procedures and Agreements","2018","Federal Energy Regulatory Commission","5.3m"
"Coordination of Protection Systems for Performance During Faults and Specific Training for Personnel Reliability Standards","2018","Federal Energy Regulatory Commission","-1.8m"
"Interstate and Intrastate Natural Gas Pipelines; Rate Changes Relating to Federal Income Tax Rate; American Forest & Paper Association","2018","Federal Energy Regulatory Commission","216.0k"
"Supply Chain Risk Management Reliability Standards","2018","Federal Energy Regulatory Commission","16.5m"
"Geomagnetic Disturbance Reliability Standard; Reliability Standard for Transmission System Planned Performance for Geomagnetic Disturbance Events","2018","Federal Energy Regulatory Commission","630.0k"
"Standards for Business Practices of Interstate Natural Gas Pipelines","2018","Federal Energy Regulatory Commission","539.0k"
"Standards for Business Practices of Interstate Natural Gas Pipelines","2005","Federal Energy Regulatory Commission","12.9m"
"Elimination of Form 80 and Revision of Regulations on Recreational Opportunities and Development at Licensed Hydropower Projects","2018","Federal Energy Regulatory Commission","5.0k"
"Transmission Relay Loadability Reliability Standard","2012","Federal Energy Regulatory Commission","2.5m"
"Preventing Undue Discrimination and Preference in Transmission Service","2007","Federal Energy Regulatory Commission","24.9m"
"Market-Based Rates for Wholesale Sales of Electric Energy, Capacity and Ancillary","2007","Federal Energy Regulatory Commission","10.7m"
"Standards for Business Practices and Communication Protocols for Public Utilities","2007","Federal Energy Regulatory Commission","260.0k"
"Standards for Business Practices for Interstate Natural Gas Pipelines; Standards","2007","Federal Energy Regulatory Commission","1.4m"
"Mandatory Reliability Standards for the Bulk-Power System","2007","Federal Energy Regulatory Commission","131.8m"
"Mandatory Reliability Standards for Critical Infrastructure Protection","2008","Federal Energy Regulatory Commission","99.0m"
"Electronic Tariff Filings","2008","Federal Energy Regulatory Commission","3.2m"
"Forms, Statements and Reporting Requirements for Electric Utilities","2008","Federal Energy Regulatory Commission","538.0k"
"Modification of Hydropower Procedural Regulations","2005","Federal Energy Regulatory Commission","-28.0k"
"Standardization of Small Generator Interconnection Agreements","2005","Federal Energy Regulatory Commission ","317.0k"
"Safety of Water Power Projects and Project Works","2022","Federal Energy Regulatory Commission","1.3m"
"Incentives for Advanced Cybersecurity Investment","2023","Federal Energy Regulatory Commission","1.6m"
"Interconnection for Wind Energy","2005","Federal Energy Regulatory Commission ","0.0"
"Managing Transmission Line Ratings","2022","Federal Energy Regulatory Commission","61.2m"
"Electronic Filing of the Application for Authorization for the Issuance of Securities","2005","Federal Energy Regulatory Commission","0.0"
"Mandatory Reliability Standard for Nuclear Plant Interface Coordination","2008","Federal Energy Regulatory Commission","4.1m"
"Wholsale Competition in Regions With Organized Electric Markets","2008","Federal Energy Regulatory Commission","3.7m"
"Fuel Cell Thermal Energy Output; Bloom Energy Corporation","2021","Federal Energy Regulatory Commission","1.2m"
"Tariff Provisions","2023","Federal Energy Regulatory Commission","51.0k"
"Standards for Business Practices and Communication Protocols for Public Utilities","2021","Federal Energy Regulatory Commission","1.5m"
"Improvements to Generator Interconnection Procedures and Agreements","2024","Federal Energy Regulatory Commission","79.0k"
"Interstate and Intrastate Natural Gas Pipelines; Rate Changes Relating to Federal Income Tax Rate American Forest & Paper Association","2021","Federal Energy Regulatory Commission","-204.0k"
"Building for the Future Through Electric Regional Transmission Planning and Cost Allocation","2024","Federal Energy Regulatory Commission","56.5m"
"Critical Infrastructure Protection Reliability Standard CIP-012-1-Cyber Security-Communications Between Control Centers","2020","Federal Energy Regulatory Commission","34.0m"
"Removing Profile Drawing Requirement for Qualifying Conduit Notices of Intent and Revising Filing Requirements for Major Hydroelectric Projects 10 MW or Less","2021","Federal Energy Regulatory Commission","-258.0k"
"One-Time Informational Reports on Extreme Weather Vulnerability Assessments Climate Change, Extreme Weather, and Electric System Reliability","2023","Federal Energy Regulatory Commission","1.1m"
"Transmission Planning Reliability Standard TPL-001-5","2020","Federal Energy Regulatory Commission","424.0k"
"Standards for Business Practices of Interstate Natural Gas Pipelines","2021","Federal Energy Regulatory Commission","2.0m"
"Critical Infrastructure Protection Reliability Standard CIP-012-1-Cyber Security-Communications Between Control Centers","2020","Federal Energy Regulatory Commission","34.0m"
"Standards for Business Practices and Communication Protocols for Public Utilities","2020","Federal Energy Regulatory Commission","475.0k"
"Filing Requirements for Electric Utility Service Agreements; Electricity Market Transparency Provisions of Section 220 of the Federal Power Act; Revisions to Electric Quarterly Report Filing Process; Electric Quarterly Reports","2020","Federal Energy Regulatory Commission","45.0k"
"Qualifying Facility Rates and Requirements Implementation Issues Under the Public Utility Regulatory Policies Act of 1978","2020","Federal Energy Regulatory Commission","3.5m"
"Standards for Business Practices of Interstate Natural Gas Pipelines","2024","Federal Energy Regulatory Commission","2.4m"
"Version 4 Critical Infrastructure Protection Reliability Standards","2012","Federal Energy Regulatory Commission","3.0m"
"Electric Reliability Organization Proposal To Retire Requirements in Reliability Standards Under the NERC Standards Efficiency Review","2020","Federal Energy Regulatory Commission","0.0"
"Participation of Distributed Energy Resource Aggregations in Markets Operated by Regional Transmission Organizations and Independent System Operators","2020","Federal Energy Regulatory Commission","1.5m"
"Revisions to Form, Procedures, and Criteria for Certification","2010","Federal Energy Regulatory Commission","0.0"
"Qualifying Facility Rates and Requirements Implementation Issues Under the Public Utility Regulatory Policies Act of 1978","2020","Federal Energy Regulatory Commission","561.0k"
"Standards for Business Practices for Interstate Natural Gas Pipelines","2010","Federal Energy Regulatory Commission","429.0k"
"New PURPA Section 210(m) Regulations Applicable to Small Power Production","2006","Federal Energy Regulatory Commission","420.0k"
"Collection and Transmission of Annual AMC Registry Fees","2017","Federal Financial Institutions Examination Council","0.0"
"UNIFORM MORTGAGE-BACKED SECURITY ","2019","Federal Housing Finance Agency","0.0"
"VALIDATION AND APPROVAL OF CREDIT SCORE MODELS","2019","Federal Housing Finance Agency","0.0"
"Affordable Housing Program Amendments","2018","Federal Housing Finance Agency","0.0"
"Non-Vessel-Operating Common Carrier Negotiated Rate Arrangements","2013","Federal Maritime Commission","0.0"
"Service Contracts","2021","Federal Maritime Commission","0.0"
"Definition of Unreasonable Refusal To Deal or Negotiate With Respect to Vessel Space Accommodations Provided by an Ocean Common Carrier","2024","Federal Maritime Commission","1.3m"
"Carrier Automated Tariffs","2024","Federal Maritime Commission","0.0"
"Amendments to Regulations Governing NVOCC Negotiated Rate Arrangements and NVOCC Service Arrangements","2018","Federal Maritime Commission","0.0"
"Demurrage and Detention Billing Requirements","2024","Federal Maritime Commission","29.4m"
"Service Contracts","2020","Federal Maritime Commission","-6.0m"
"Electronic Fund Transfers","2010","Federal Reserve","0.0"
"Loans to Executive Officers, Directors, and Principal Shareholders of Member Banks","2020","Federal Reserve","0.0"
"Rules Regarding Availability of Information","2020","Federal Reserve","0.0"
"Community Reinvestment Act; Correction","2005","Federal Reserve","0.0"
"Electronic Fund Transfers","2006","Federal Reserve","0.0"
"Electronic Fund Transfers","2006","Federal Reserve","0.0"
"Electronic Fund Transfers","2006","Federal Reserve","0.0"
"Electronic Fund Transfers","2006","Federal Reserve","0.0"
"International Banking Operations","2006","Federal Reserve","0.0"
"Loans to Executive Officers, Directors, and Principal Shareholders of Member Banks","2006","Federal Reserve","-240.0k"
"Electronic Fund Transfers","2010","Federal Reserve","0.0"
"Prohibition on Funding of Unlawful Internet Gambling","2008","Federal Reserve","91.8m"
"Capital Plans","2011","Federal Reserve","0.0"
"Conformance Period for Entities in Prohibited Proprietary Trading","2011","Federal Reserve","0.0"
"Consumer Leasing","2011","Federal Reserve","0.0"
"Debit Card Interchange Fees and Routing","2011","Federal Reserve","0.0"
"Debit Card Interchange Fees and Routing","2011","Federal Reserve","0.0"
"Truth in Lending","2009","Federal Reserve","0.0"
"Fair Credit Reporting Risk-Based Pricing Regulations","2011","Federal Reserve","274.2m"
"Truth in Savings","2009","Federal Reserve","0.0"
"Resolution Plans and Credit Exposure Reports Required","2011","Federal Reserve","0.0"
"Truth in Lending","2009","Federal Reserve","0.0"
"Truth in Lending","2011","Federal Reserve","0.0"
"Truth in Lending","2009","Federal Reserve","0.0"
"Electronic Fund Transfers","2009","Federal Reserve","0.0"
"Truth in Lending","2009","Federal Reserve","0.0"
"TREATMENT OF PERPETUAL PREFERRED STOCK ","2009","Federal Reserve","0.0"
"TREATMENT OF SUBORDINATED SECURITIES","2009","Federal Reserve","0.0"
"Capital Surcharges for Global Systemically Important Bank Holding Companies","2015","Federal Reserve","0.0"
"EXTENSIONS OF CREDIT","2015","Federal Reserve","0.0"
"Supervised Securities Holding Company Registration","2012","Federal Reserve","0.0"
"Enhanced Prudential Standards and Early Remediation Requirements","2012","Federal Reserve","0.0"
"Enhanced Prudential Standards for Bank Holding Companies","2014","Federal Reserve","0.0"
"Amendments to the Capital Plan and Stress Test Rules","2014","Federal Reserve","0.0"
"Concentration Limits on Large Financial Companies","2014","Federal Reserve","0.0"
"Truth in Lending","2010","Federal Reserve","0.0"
"Regulatory Capital Rules: Risk-Based Capital Requirements for Depository Institution Holding Companies Significantly Engaged in Insurance Activities","2023","Federal Reserve","0.0"
"Amendments to the Capital Plan Rule","2019","Federal Reserve","0.0"
"Availability of Funds and Collection of Checks (Regulation CC)","2019","Federal Reserve","0.0"
"Resolution Plans Required","2019","Federal Reserve","-35.9m"
"Prudential Standards for Large Bank Holding Companies, Savings and Loan Holding Companies, and Foreign Banking Organizations","2019","Federal Reserve","0.0"
"Electronic Fund Transfers","2010","Federal Reserve","0.0"
"Federal Reserve Bank Capital Stock","2016","Federal Reserve","0.0"
"BANK CAPITAL STOCK","2016","Federal Reserve","0.0"
"Truth in Lending","2008","Federal Reserve","0.0"
"Supervisory Guidance: Supervisory Review Process of Capital Adequacy","2008","Federal Reserve","0.0"
"Requirements for Systemically Important U.S. Bank Holding Companies","2017","Federal Reserve","2.0b"
"Amendments to the Capital Plan and Stress Test Rules","2017","Federal Reserve","0.0"
"Availability of Funds and Collection of Checks","2017","Federal Reserve","30.6m"
"Restrictions on Qualified Financial Contracts of Systemically Important U.S. Banking","2017","Federal Reserve","0.0"
"Retail Foreign Exchange Transactions (Regulation NN)","2013","Federal Reserve","0.0"
"Supervision and Regulation Assessments for Bank Holding Companies","2013","Federal Reserve","0.0"
"Debit Card Interchange Fees and Routing","2012","Federal Reserve","0.0"
"Regulation Z; Truth in Lending","2010","Federal Reserve","0.0"
"Regulation Z; Truth in Lending","2010","Federal Reserve","0.0"
"SINGLE-COUNTERPARTY CREDIT LIMITS FOR BANK HOLDING COMPANIES AND FOREIGN BANKING ORGANIZATIONS ","2018","Federal Reserve","0.0"
"Electronic Fund Transfers","2007","Federal Reserve","0.0"
"Consumer Leasing","2007","Federal Reserve","0.0"
"Loans to Executive Officers, Directors, and Principal Shareholders of Member Banks","2007","Federal Reserve","-240.0k"
"Definitions of Terms and Exemptions Relating to the “Broker” Exceptions for Banks","2007","Federal Reserve","-7.3m"
"Truth in Savings","2005","Federal Reserve","0.0"
"Truth in Lending","2010","Federal Reserve","0.0"
"Truth in Lending","2010","Federal Reserve","0.0"
"TREATMENT OF PERPETUAL PREFERRED STOCK ISSUED TO THE UNITED STATES TREASURY","2008","Federal Reserve","0.0"
"Home Mortgage Disclosure","2008","Federal Reserve","0.0"
"Regulations Q, Y, and YY: Regulatory Capital, Capital Plan, and Stress Test Rules","2020","Federal Reserve","0.0"
"Total Loss-Absorbing Capacity, Long-Term Debt, and Clean Holding Company Requirements for Systemically Important U.S. Bank Holding Companies and Intermediate Holding Companies of Systemically Important Foreign Banking Organizations: Eligible Retained Inco","2020","Federal Reserve","0.0"
"Contact Lens Rule","2020","Federal Trade Commission","63.1m"
"Mortgage Assistance Relief Services","2010","Federal Trade Commission","3.5m"
"Appliance Labeling Rule","2006","Federal Trade Commission","2.1m"
"Business Opportunity Rule","2011","Federal Trade Commission","17.1m"
"Disclosures Regarding Energy Consumption and Water Use","2011","Federal Trade Commission","1.9m"
"Mortgage Acts and Practices-Advertising","2011","Federal Trade Commission","55.3m"
"Premerger Notification; Reporting, Waiting Period Requirements","2011","Federal Trade Commission","24.7m"
"Energy Labeling Rule","2015","Federal Trade Commission","3.7m"
"Non-Compete Clause Rule","2024","Federal Trade Commission","7.2b"
"Health Breach Notification Rule","2009","Federal Trade Commission","795.0k"
"Energy and Water Use Labeling for Consumer Products","2014","Federal Trade Commission","0.0"
"Regulations Under the Fur Products Labeling Act","2014","Federal Trade Commission","0.0"
"Standards for Safeguarding Customer Information","2023","Federal Trade Commission","114.0k"
"DEFINITIONS AND IMPLEMENTATION UNDER THE CAN-SPAM ACT ","2005","Federal Trade Commission","0.0"
"Health Breach Notification Rule","2024","Federal Trade Commission","278.6m"
"Prescreen Opt-Out Disclosure","2005","Federal Trade Commission","1.2m"
"Premerger Notification; Reporting and Waiting Period Requirements","2005","Federal Trade Commission","-1.5m"
"Water Use of Home Appliances","2008","Federal Trade Commission","0.0"
"Appliance Labeling Rule","2010","Federal Trade Commission","2.3m"
"Automotive Fuel Ratings, Certification and Posting","2008","Federal Trade Commission","0.0"
"Automotive Fuel Ratings, Certification and Posting","2016","Federal Trade Commission","0.0"
"Ophthalmic Practice Rules (Eyeglass Rule)","2024","Federal Trade Commission","115.2m"
"Telemarketing Sales Rule","2010","Federal Trade Commission","1.0m"
"Energy Labeling Rule","2017","Federal Trade Commission","65.0k"
"Trade Regulation Rule on the Use of Consumer Reviews and Testimonials","2024","Federal Trade Commission","-16.3b"
"Children's Online Privacy Protection Rule","2013","Federal Trade Commission","21.5m"
"Energy Labeling Rule","2013","Federal Trade Commission","667.0k"
"Premerger Notification; Reporting and Waiting Period Requirements","2013","Federal Trade Commission","1.2m"
"Combating Auto Retail Scams Trade Regulation Rule","2024","Federal Trade Commission","1.1b"
"Fair Credit Reporting Risk-Based Pricing Regulations","2010","Federal Trade Commission","252.1m"
"Rule Concerning Disclosures Regarding Energy Consumption and Water Use","2007","Federal Trade Commission","260.0k"
"Disclosure Requirements and Prohibitions Concerning Franchising","2007","Federal Trade Commission","19.8m"
"Affiliate Marketing Rule","2007","Federal Trade Commission","93.9m"
"Premerger Notification; Reporting and Waiting Period Requirements","2024","Federal Trade Commission","417.9m"
"Negative Option Rule","2024","Federal Trade Commission","463.5m"
"Free Annual File Disclosures","2010","Federal Trade Commission","1.0k"
"Telemarketing Sales Rule","2024","Federal Trade Commission","6.2m"
"Telemarketing Sales Rule","2024","Federal Trade Commission","9.9m"
"Guidance on Nonbank Financial Company Determinations","2023","Financial Stability Oversight Commission","1.7m"
"Authority To Designate Financial Market Utilities as Important","2011","Financial Stability Oversight Council","0.0"
"Authority To Require Supervision of Certain Nonbank Financial Companies","2012","Financial Stability Oversight Council","450.0k"
"Definition of the Term “Biological Product”","2020","Food & Drug Administration","-2.4m"
"Banned Devices; Electrical Stimulation Devices for Self-Injurious or Aggressive Behavior","2020","Food & Drug Administration","36.7m"
"Tobacco Products; Required Warnings for Cigarette Packages and Advertisements","2020","Food & Drug Administration","1.0b"
"Postmarketing Safety Reports for Approved New Animal Drugs; Electronic Submission Requirements","2020","Food & Drug Administration","-41.0k"
"Food Labeling; Gluten-Free Labeling of Fermented or Hydrolyzed Foods","2020","Food & Drug Administration","107.1m"
"Importation of Prescription Drugs","2020","Food & Drug Administration","0.0"
"Restricting the Sale and Distribution of Cigarettes","2010","Food & Drug Administration ","0.0"
"Beverages: Bottled Water","2022","Food & Drug Administration","273.5k"
"Food Labeling: Nutrition Labeling of Dietary Supplements on a “Per Day” Basis","2006","Food & Drug Administration","150.0k"
"Recordkeeping Requirements for Human Food and Cosmetics","2006","Food & Drug Administration","5.3m"
"Food, Drug, and Cosmetic Labeling: Cochineal Extract and Carmine Declaration","2009","Food & Drug Administration ","3.0m"
"Substances Prohibited From Use in Animal Food or Feed","2008","Food & Drug Administration","810.6m"
"Requirements on Labeling for Human Precription Drug and Biological Products","2006","Food & Drug Administration","8.7m"
"Prevention of Salmonella Enteritidis in Shell Eggs","2009","Food & Drug Administration ","168.9m"
"Studies Not Conducted Under an Investigational New Drug Application","2008","Food & Drug Administration","552.0k"
"Current Good Manufacturing Practice Regulation and Investigational New Drugs","2006","Food & Drug Administration","130.0k"
"Charging for Investigational Drugs under New Drug Application","2009","Food & Drug Administration ","0.0"
"Revocation of Uses of Partially Hydrogenated Oils in Foods","2023","Food & Drug Administration","259.3m"
"Supplements and Other Changes to Approved New Animal Drug Applications","2006","Food & Drug Administration","0.0"
"Expanded Access to Investigational Drugs for Treatment Use","2009","Food & Drug Administration ","2.2m"
"Ozone-Depleting Substances; Removal of Essential-Use Designation","2008","Food & Drug Administration","1.1b"
"Exception From General Requirements for Informed Consent","2006","Food & Drug Administration","0.0"
"Current Good Manufacturing Practice for Positron Emission Tomography Drugs","2009","Food & Drug Administration ","15.9m"
"Patient Examination and Surgeons' Gloves; Test Procedures","2006","Food & Drug Administration","56.8m"
"Phenol, Isopropylated Phosphate (3:1) (PIP 3:1); Regulation of Persistent, Bioaccumulative, and Toxic Chemicals Under TSCA Section 6(h)","2021","Food & Drug Administration","268.0m"
"Decabromodiphenyl Ether (DecaBDE); Regulation of Persistent, Bioaccumulative, and Toxic Chemicals Under TSCA Section 6(h)","2021","Food & Drug Administration","1.8m"
"Pentachlorothiophenol (PCTP); Regulation of Persistent, Bioaccumulative, and Toxic Chemicals Under TSCA Section 6(h)","2021","Food & Drug Administration","1.3m"
"Hexachlorobutadiene (HCBD); Regulation of Persistent, Bioaccumulative, and Toxic Chemicals Under TSCA Section 6(h)","2021","Food & Drug Administration","909.0k"
"Milk and Cream Products and Yogurt Products; Final Rule To Revoke the Standards for Lowfat Yogurt and Nonfat Yogurt and To Amend the Standard for Yogurt","2021","Food & Drug Administration","33.4m"
"Import Tolerances for Residues of Unapproved New Animal Drugs in Food","2021","Food & Drug Administration","0.0"
"Animal Food Labeling; Declaration of Certifiable Color Additives","2011","Food & Drug Administration","4.6m"
"Medical Devices; Laboratory Developed Tests","2024","Food & Drug Administration","13.6b"
"Applications for FDA Approval To Market a New Drug","2011","Food & Drug Administration","15.0k"
"Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption Relating to Agricultural Water","2024","Food & Drug Administration","124.3m"
"Informed Consent Elements","2011","Food & Drug Administration","5.5m"
"Premarket Tobacco Product Applications and Recordkeeping Requirements","2021","Food & Drug Administration","50.1m"
"Labeling and Effectiveness Testing; Sunscreen Drug Products","2011","Food & Drug Administration","42.5m"
"Medical Device De Novo Classification Process","2021","Food & Drug Administration","632.1k"
"Labeling for Bronchodilators To Treat Asthma; Cold, Cough","2011","Food & Drug Administration","58.3m"
"Content and Format of Substantial Equivalence Reports; Food and Drug Administration Actions on Substantial Equivalence Reports","2021","Food & Drug Administration","421.4k"
"Required Warnings for Cigarette Packages and Advertisements","2011","Food & Drug Administration","525.5m"
"Resolution Plans for Insured Depository Institutions, $50 Billion","2011","Food & Drug Administration","0.0"
"Blood and Blood Components Intended for Transfusion","2015","Food & Drug Administration","16.9m"
"Tobacco, Exemptions From Substantial Equivalence Requirements","2011","Food & Drug Administration","1.3m"
"Classification of the Vibrator for Climax Control of Premature Ejaculation","2015","Food & Drug Administration","0.0"
"Final Determination Regarding Partially Hydrogenated Oils","2015","Food & Drug Administration","11.0b"
"Infant Formula: The Addition of Minimum and Maximum Levels of Selenium","2015","Food & Drug Administration","792.0k"
"Interruption in Manufacturing of Certain Drug or Biological Products","2015","Food & Drug Administration","40.5m"
"Veterinary Feed Directive","2015","Food & Drug Administration","-6.3m"
"Risk-Based Preventive Controls for Human Food","2015","Food & Drug Administration","3.3b"
"Risk-Based Preventive Controls for Food for Animals","2015","Food & Drug Administration","1.5b"
"Laboratory Accreditation for Analyses of Foods","2021","Food & Drug Administration","52.0m"
"Accreditation of Third-Party Certification","2015","Food & Drug Administration","11.6m"
"Standards for the Growing, Harvesting, Packing, and Holding","2015","Food & Drug Administration","2.6b"
"Foreign Supplier Verification Programs for Importers","2015","Food & Drug Administration","3.1b"
"Cold, Cough, Allergy, Bronchodilator, and Antiasthmatic Drug Products","2005","Food & Drug Administration","2.1m"
"Medical Devices; Pediatric Uses of Devices","2014","Food & Drug Administration","78.0k"
"Notification Requirements, and Records and Reports, for Infant Formula","2014","Food & Drug Administration","11.4m"
"Medical Device Reporting: Electronic Submission Requirements","2014","Food & Drug Administration","36.6m"
"Food Labeling: Nutrient Content Claims","2014","Food & Drug Administration","3.0m"
"Administrative Detention of Drugs Intended for Human or Animal Use","2014","Food & Drug Administration","9.0m"
"Postmarketing Safety Reports for Human Drug and Biological Products","2014","Food & Drug Administration","8.6m"
"Tobacco Products, User Fees, Requirements","2014","Food & Drug Administration","0.0"
"Administrative Destruction","2024","Food & Drug Administration","3.3m"
"Further Amendments to General Regulations, Incorporate Tobacco Products","2012","Food & Drug Administration","370.0k"
"Medical Devices; Ear, Nose, and Throat Devices; Establishing Over-the-Counter Hearing Aids","2022","Food & Drug Administration","-620.0m"
"Food Labeling; Calorie Labeling of Articles of Food in Vending Machines","2014","Food & Drug Administration","531.1m"
"Food Labeling; Nutrition Labeling of Standard Menu Items in Restaurants","2014","Food & Drug Administration","1.2b"
"Direct-to-Consumer Prescription Drug Advertisements: Presentation of the Major Statement in a Clear, Conspicuous, and Neutral Manner in Advertisements in Television and Radio Format","2023","Food & Drug Administration","218.3m"
"Current Good Manufacturing Practice, Certification, Postmarketing Safety Reporting, and Labeling Requirements for Certain Medical Gases","2024","Food & Drug Administration","-2.2m"
"Revocation of Authorization for Use of Brominated Vegetable Oil in Food","2024","Food & Drug Administration","11.5m"
"Export Requirements for Unapproved New Drug Products","2005","Food & Drug Administration","0.0"
"List of Bulk Drug Substances That Can Be Used To Compound Drug Products in Accordance With Section 503A of the Federal Food, Drug, and Cosmetic Act","2019","Food & Drug Administration","3.3m"
"Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption; Extension of Compliance Dates for Subpart E","2019","Food & Drug Administration","-97.0m"
"Microbiology Devices; Classification of In Vitro Diagnostic Devices for Bacillus Species Detection","2019","Food & Drug Administration","-729.0k"
"Medical Devices; Orthopedic Devices; Classification of Posterior Cervical Screw Systems","2019","Food & Drug Administration","500.0k"
"Effective Date of Requirement for Premarket Approval","2012","Food & Drug Administration","0.0"
"Safety and Effectiveness of Consumer Antiseptic Rubs; Topical Antimicrobial Drug Products for Over-the-Counter Human Use","2019","Food & Drug Administration","1.8m"
"Regulation Requiring an Approved New Drug Application for Drugs Sterilized by Irradiation","2019","Food & Drug Administration","-880.0k"
"Medical Device Submissions: Amending Premarket Regulations That Require Multiple Copies and Specify Paper Copies To Be Required in Electronic Format","2019","Food & Drug Administration","-20.0m"
"Sanitary Transportation of Human and Animal Food","2016","Food & Drug Administration","998.0m"
"Good Manufacturing Practice and Investigational New Drugs","2008","Food & Drug Administration","-848.0k"
"Deeming Tobacco Products To Be Subject to the Federal Food, Drug, and Cosmetic Act","2016","Food & Drug Administration","1.1b"
"Antimicrobial Animal Drug Sales and Distribution Reporting","2016","Food & Drug Administration","191.0k"
"Food Labeling: Revision of the Nutrition and Supplement Facts Labels","2016","Food & Drug Administration","4.3b"
"Institutional Review Board Waiver or Alteration of Informed Consent for Minimal Risk Clinical Investigations","2023","Food & Drug Administration","7.7m"
"Food Labeling: Serving Sizes of Foods That Can Reasonably Be Consumed","2016","Food & Drug Administration","4.3b"
"Mitigation Strategies To Protect Food Against Intentional Adulteration","2016","Food & Drug Administration","1.0b"
"Use of Symbols in Labeling","2016","Food & Drug Administration","-21.8m"
"Amendments to Registration of Food Facilities","2016","Food & Drug Administration","10.4m"
"Substances Generally Recognized as Safe","2016","Food & Drug Administration","3.4m"
"Registration and Listing for Human Drugs","2016","Food & Drug Administration","59.7m"
"Topical Antimicrobial Drug Products for Over-the-Counter Human Use","2016","Food & Drug Administration","402.8m"
"Abbreviated New Drug Applications and 505(b)(2)","2016","Food & Drug Administration","2.3m"
"Amendments to Regulations on Citizen Petitions","2016","Food & Drug Administration","614.7k"
"Medical Gas Containers and Closures","2016","Food & Drug Administration","1.8m"
"Import Data in the Automated Commercial Environment","2016","Food & Drug Administration","382.0m"
"Postmarketing Safety Reporting for Combination Products","2016","Food & Drug Administration","22.8m"
"Submission of Food and Drug Administration Import Data in the Automated Commercial Environment for Veterinary Devices","2022","Food & Drug Administration","813.0k"
"Banned Devices; Powdered Surgeon's Gloves","2016","Food & Drug Administration","0.0"
"Products Made or Derived From Tobacco","2017","Food & Drug Administration","2.8m"
"Delay: Nutrition Labeling of Standard Menu Items","2017","Food & Drug Administration","-8.0m"
"Clinical Laboratory Improvement Amendments of 1988 (CLIA); Fecal Occult Blood (FOB) Testing","2017","Food & Drug Administration","151.0k"
"Safety and Effectiveness of Health Care Antiseptics; Topical Antimicrobial Drug Products","2017","Food & Drug Administration","17.2m"
"Orphan Drug Regulations","2013","Food & Drug Administration ","-144.0k"
"Radiological Health Regulations; Amendments to Records and Reports for Radiation Emitting Electronic Products; Amendments to Performance Standards for Diagnostic X-ray, Laser, and Ultrasonic Products","2023","Food & Drug Administration","1.6m"
"Food Labeling; Gluten-Free Labeling of Foods","2013","Food & Drug Administration ","6.8m"
"Implementation of Device Registration and Listing Requirements","2012","Food & Drug Administration","600.0k"
"Unique Device Identification System","2013","Food & Drug Administration ","714.6m"
"Requirements for Additional Traceability Records for Certain Foods","2022","Food & Drug Administration","6.0b"
"Medical Devices; Quality System Regulation Amendments","2024","Food & Drug Administration","-5.3b"
"Biologics License Applications and Master Files","2024","Food & Drug Administration","-19.7m"
"Investigational New Drug Safety Reporting Requirements for Human Drug","2010","Food & Drug Administration ","650.0k"
"Food Labeling: Revision of the Nutrition and Supplement Facts Labels...Extension of Compliance Dates","2018","Food & Drug Administration","-1.0b"
"Human Subject Protection; Acceptance of Data From Clinical Investigations for Medical Devices","2018","Food & Drug Administration","232.0m"
"Medical Device Classification Procedures: Incorporating Food and Drug Administration Safety and Innovation Act Procedures","2018","Food & Drug Administration","3.3m"
"Mammography Quality Standards Act","2023","Food & Drug Administration","363.1m"
"Reporting Information Authorized Generic Drugs","2008","Food & Drug Administration","0.0"
"Food Labeling: Safe Handling Statements: Labeling of Shell Eggs","2007","Food & Drug Administration","-14.8m"
"Current Good Manufacturing Practice in Manufacturing, Packaging, Labeling","2007","Food & Drug Administration","2.3b"
"Petition to Request an Exemption From 100 Percent Identity Testing of Dietary","2007","Food & Drug Administration","-184.2m"
"Designation of New Animal Drugs for Minor Uses or Minor Species","2007","Food & Drug Administration","70.0k"
"Index of Legally Marketed Unapproved New Animal Drugs for Minor Species","2007","Food & Drug Administration","6.7m"
"Beverages: Bottled Water","2005","Food & Drug Administration","4.0m"
